半导体	semiconductor
"2482","weight","化学原料","化学制药",6.3371720205841e-45,2.6e-41,"< 2e-16","****","Wilcoxon"
"2483","weight","化学原料","环保",3.18518402268021e-53,1.3e-49,"< 2e-16","****","Wilcoxon"
"2484","weight","化学原料","机器人",1.4791763701859e-77,6.4e-74,"< 2e-16","****","Wilcoxon"
"2485","weight","化学原料","基本金属",1.75266313351012e-64,7.5e-61,"< 2e-16","****","Wilcoxon"
"2486","weight","化学原料","基础建设",0.252676261321374,1,"0.25268","ns","Wilcoxon"
"2487","weight","化学原料","计算机软件",7.01567673881042e-13,2.3e-09,"7.0e-13","****","Wilcoxon"
"2488","weight","化学原料","计算机硬件",0.509076340488799,1,"0.50908","ns","Wilcoxon"
"2489","weight","化学原料","家具",2.63706743429751e-36,1.1e-32,"< 2e-16","****","Wilcoxon"
"2490","weight","化学原料","建筑施工",2.89106162744886e-168,1.3e-164,"< 2e-16","****","Wilcoxon"
"2491","weight","化学原料","教育",0.0194791688971693,1,"0.01948","*","Wilcoxon"
"2492","weight","化学原料","金属非金属新材料",0.0440546208706123,1,"0.04405","*","Wilcoxon"
"2493","weight","化学原料","金属制品",3.31426431157687e-297,1.5e-293,"< 2e-16","****","Wilcoxon"
"2494","weight","化学原料","林业",0.52635684026688,1,"0.52636","ns","Wilcoxon"
"2495","weight","化学原料","零售",0.193366209002926,1,"0.19337","ns","Wilcoxon"
"2496","weight","化学原料","贸易",6.04075488854386e-12,2e-08,"6.0e-12","****","Wilcoxon"
"2497","weight","化学原料","煤炭",5.81328361073186e-13,1.9e-09,"5.8e-13","****","Wilcoxon"
"2498","weight","化学原料","耐火材料",1.36894243945797e-41,5.6e-38,"< 2e-16","****","Wilcoxon"
"2499","weight","化学原料","农业",1.89536923584298e-14,6.5e-11,"1.9e-14","****","Wilcoxon"
"2500","weight","化学原料","平面媒体",0.961078458462204,1,"0.96108","ns","Wilcoxon"
"2501","weight","化学原料","其他电气设备",0.0154143321108496,1,"0.01541","*","Wilcoxon"
"2502","weight","化学原料","其他家电",2.28016303889522e-07,0.00065,"2.3e-07","****","Wilcoxon"
"2503","weight","化学原料","其他建材",2.86343897244205e-79,1.2e-75,"< 2e-16","****","Wilcoxon"
"2504","weight","化学原料","其他交运设备",0.000872709190577137,1,"0.00087","***","Wilcoxon"
"2505","weight","化学原料","其他轻工",0.941729189831223,1,"0.94173","ns","Wilcoxon"
"2506","weight","化学原料","汽车",1.29143792813719e-20,4.8e-17,"< 2e-16","****","Wilcoxon"
"2507","weight","化学原料","燃气",1.04913926853039e-12,3.5e-09,"1.0e-12","****","Wilcoxon"
"2508","weight","化学原料","商业物业经营",0.0229897453894476,1,"0.02299","*","Wilcoxon"
"2509","weight","化学原料","生物医药",7.50397384670867e-11,2.4e-07,"7.5e-11","****","Wilcoxon"
"2510","weight","化学原料","石油天然气",1.62979093532448e-11,5.3e-08,"1.6e-11","****","Wilcoxon"
"2511","weight","化学原料","食品",3.08339952271976e-108,1.4e-104,"< 2e-16","****","Wilcoxon"
"2512","weight","化学原料","视听器材",0.160379565686246,1,"0.16038","ns","Wilcoxon"
"2513","weight","化学原料","输变电设备",8.69797281354254e-18,3.1e-14,"< 2e-16","****","Wilcoxon"
"2514","weight","化学原料","水泥",5.04034691939985e-11,1.6e-07,"5.0e-11","****","Wilcoxon"
"2515","weight","化学原料","水务",0.000110383187652762,0.26,"0.00011","***","Wilcoxon"
"2516","weight","化学原料","陶瓷",0.995830222749176,1,"0.99583","ns","Wilcoxon"
"2517","weight","化学原料","铁矿石",0.658885503827763,1,"0.65889","ns","Wilcoxon"
"2518","weight","化学原料","铁路设备",0.0581014789624047,1,"0.05810","ns","Wilcoxon"
"2519","weight","化学原料","通信设备",0.365758865238433,1,"0.36576","ns","Wilcoxon"
"2520","weight","化学原料","通用设备",1.13571719878418e-108,5e-105,"< 2e-16","****","Wilcoxon"
"2521","weight","化学原料","卫星应用",0.000206567621977044,0.48,"0.00021","***","Wilcoxon"
"2522","weight","化学原料","文娱用品",8.48080345017329e-09,2.5e-05,"8.5e-09","****","Wilcoxon"
"2523","weight","化学原料","物流",1.03433599010084e-20,3.8e-17,"< 2e-16","****","Wilcoxon"
"2524","weight","化学原料","稀有金属",1.06970493465277e-17,3.8e-14,"< 2e-16","****","Wilcoxon"
"2525","weight","化学原料","橡胶制品",0.00376124414639657,1,"0.00376","**","Wilcoxon"
"2526","weight","化学原料","消费电子设备",9.70593068231907e-17,3.4e-13,"< 2e-16","****","Wilcoxon"
"2527","weight","化学原料","小家电",0.00402381143592913,1,"0.00402","**","Wilcoxon"
"2528","weight","化学原料","休闲服务",0.178285470360591,1,"0.17829","ns","Wilcoxon"
"2529","weight","化学原料","医疗服务",1.67888373556859e-09,5.1e-06,"1.7e-09","****","Wilcoxon"
"2530","weight","化学原料","医疗器械",1.64452926086978e-52,6.9e-49,"< 2e-16","****","Wilcoxon"
"2531","weight","化学原料","医药商业",1.43905084009144e-57,6.1e-54,"< 2e-16","****","Wilcoxon"
"2532","weight","化学原料","银行",2.75894810307644e-22,1e-18,"< 2e-16","****","Wilcoxon"
"2533","weight","化学原料","饮料",0.0504462593090306,1,"0.05045","ns","Wilcoxon"
"2534","weight","化学原料","营销服务",0.00317373739208779,1,"0.00317","**","Wilcoxon"
"2535","weight","化学原料","影视动漫",7.1506983134798e-06,0.019,"7.2e-06","****","Wilcoxon"
"2536","weight","化学原料","渔业",0.181358540997169,1,"0.18136","ns","Wilcoxon"
"2537","weight","化学原料","造纸印刷",0.597324756641052,1,"0.59732","ns","Wilcoxon"
"2538","weight","化学原料","照明设备",0.778216072222559,1,"0.77822","ns","Wilcoxon"
"2539","weight","化学原料","中药生产",1.53359362760826e-35,6.1e-32,"< 2e-16","****","Wilcoxon"
"2540","weight","化学原料","珠宝首饰",1.76820743815061e-22,6.7e-19,"< 2e-16","****","Wilcoxon"
"2541","weight","化学原料","专业服务",0.0017895316610483,1,"0.00179","**","Wilcoxon"
"2542","weight","化学原料","专用设备",1.21723650484528e-94,5.4e-91,"< 2e-16","****","Wilcoxon"
"2543","weight","化学原料","装修装饰",0.00072515952111643,1,"0.00073","***","Wilcoxon"
"2544","weight","化学原料","综合",0.0310146138249354,1,"0.03101","*","Wilcoxon"
"2545","weight","化学制品","化学制药",1.00374348689842e-54,4.2e-51,"< 2e-16","****","Wilcoxon"
"2546","weight","化学制品","环保",5.69793547364936e-50,2.4e-46,"< 2e-16","****","Wilcoxon"
"2547","weight","化学制品","机器人",8.54560119648443e-94,3.8e-90,"< 2e-16","****","Wilcoxon"
"2548","weight","化学制品","基本金属",3.31260308760205e-66,1.4e-62,"< 2e-16","****","Wilcoxon"
"2549","weight","化学制品","基础建设",0.231490884215467,1,"0.23149","ns","Wilcoxon"
"2550","weight","化学制品","计算机软件",1.59464978017786e-15,5.5e-12,"1.6e-15","****","Wilcoxon"
"2551","weight","化学制品","计算机硬件",1.92335339557092e-06,0.0052,"1.9e-06","****","Wilcoxon"
"2552","weight","化学制品","家具",2.71100071951482e-44,1.1e-40,"< 2e-16","****","Wilcoxon"
"2553","weight","化学制品","建筑施工",4.16113715167709e-157,1.9e-153,"< 2e-16","****","Wilcoxon"
"2554","weight","化学制品","教育",0.0172792794791108,1,"0.01728","*","Wilcoxon"
"2555","weight","化学制品","金属非金属新材料",0.287306404701576,1,"0.28731","ns","Wilcoxon"
"2556","weight","化学制品","金属制品",0,0,"< 2e-16","****","Wilcoxon"
"2557","weight","化学制品","林业",0.654638739555189,1,"0.65464","ns","Wilcoxon"
"2558","weight","化学制品","零售",0.238718262987247,1,"0.23872","ns","Wilcoxon"
"2559","weight","化学制品","贸易",5.59747963211642e-14,1.9e-10,"5.6e-14","****","Wilcoxon"
"2560","weight","化学制品","煤炭",2.7774051990292e-14,9.4e-11,"2.8e-14","****","Wilcoxon"
"2561","weight","化学制品","耐火材料",3.98451016190793e-38,1.6e-34,"< 2e-16","****","Wilcoxon"
"2562","weight","化学制品","农业",1.3319368866826e-14,4.6e-11,"1.3e-14","****","Wilcoxon"
"2563","weight","化学制品","平面媒体",0.720502138896447,1,"0.72050","ns","Wilcoxon"
"2564","weight","化学制品","其他电气设备",0.0245954786844613,1,"0.02460","*","Wilcoxon"
"2565","weight","化学制品","其他家电",0.000119460092206013,0.28,"0.00012","***","Wilcoxon"
"2566","weight","化学制品","其他建材",6.00608086896226e-81,2.6e-77,"< 2e-16","****","Wilcoxon"
"2567","weight","化学制品","其他交运设备",0.000296843528205883,0.68,"0.00030","***","Wilcoxon"
"2568","weight","化学制品","其他轻工",0.875779971882818,1,"0.87578","ns","Wilcoxon"
"2569","weight","化学制品","汽车",2.27279543807626e-26,8.8e-23,"< 2e-16","****","Wilcoxon"
"2570","weight","化学制品","燃气",7.93039244329085e-13,2.6e-09,"7.9e-13","****","Wilcoxon"
"2571","weight","化学制品","商业物业经营",0.034121055915603,1,"0.03412","*","Wilcoxon"
"2572","weight","化学制品","生物医药",1.06199592002383e-10,3.4e-07,"1.1e-10","****","Wilcoxon"
"2573","weight","化学制品","石油天然气",8.2751720683932e-08,0.00024,"8.3e-08","****","Wilcoxon"
"2574","weight","化学制品","食品",2.48762036497747e-129,1.1e-125,"< 2e-16","****","Wilcoxon"
"2575","weight","化学制品","视听器材",0.23942578606015,1,"0.23943","ns","Wilcoxon"
"2576","weight","化学制品","输变电设备",1.01841098937201e-22,3.9e-19,"< 2e-16","****","Wilcoxon"
"2577","weight","化学制品","水泥",2.25198554902513e-11,7.3e-08,"2.3e-11","****","Wilcoxon"
"2578","weight","化学制品","水务",0.000228832159129192,0.53,"0.00023","***","Wilcoxon"
"2579","weight","化学制品","陶瓷",0.726639657666877,1,"0.72664","ns","Wilcoxon"
"2580","weight","化学制品","铁矿石",0.964931357701769,1,"0.96493","ns","Wilcoxon"
"2581","weight","化学制品","铁路设备",0.0407750964851122,1,"0.04078","*","Wilcoxon"
"2582","weight","化学制品","通信设备",0.971844313080271,1,"0.97184","ns","Wilcoxon"
"2583","weight","化学制品","通用设备",2.9422772532244e-162,1.3e-158,"< 2e-16","****","Wilcoxon"
"2584","weight","化学制品","卫星应用",0.00781860938822265,1,"0.00782","**","Wilcoxon"
"2585","weight","化学制品","文娱用品",5.42376324975178e-10,1.7e-06,"5.4e-10","****","Wilcoxon"
"2586","weight","化学制品","物流",1.68129837511422e-18,6e-15,"< 2e-16","****","Wilcoxon"
"2587","weight","化学制品","稀有金属",3.15251827757507e-15,1.1e-11,"3.2e-15","****","Wilcoxon"
"2588","weight","化学制品","橡胶制品",0.0523838896337503,1,"0.05238","ns","Wilcoxon"
"2589","weight","化学制品","消费电子设备",3.20910732077152e-16,1.1e-12,"3.2e-16","****","Wilcoxon"
"2590","weight","化学制品","小家电",0.268679384629183,1,"0.26868","ns","Wilcoxon"
"2591","weight","化学制品","休闲服务",0.119937256670327,1,"0.11994","ns","Wilcoxon"
"2592","weight","化学制品","医疗服务",1.87132355362506e-09,5.7e-06,"1.9e-09","****","Wilcoxon"
"2593","weight","化学制品","医疗器械",4.81279237948652e-50,2e-46,"< 2e-16","****","Wilcoxon"
"2594","weight","化学制品","医药商业",6.60117183093391e-63,2.8e-59,"< 2e-16","****","Wilcoxon"
"2595","weight","化学制品","银行",1.79706397397368e-21,6.7e-18,"< 2e-16","****","Wilcoxon"
"2596","weight","化学制品","饮料",0.0539067061421706,1,"0.05391","ns","Wilcoxon"
"2597","weight","化学制品","营销服务",0.012720343237676,1,"0.01272","*","Wilcoxon"
"2598","weight","化学制品","影视动漫",2.50546105374381e-06,0.0067,"2.5e-06","****","Wilcoxon"
"2599","weight","化学制品","渔业",0.1674940063884,1,"0.16749","ns","Wilcoxon"
"2600","weight","化学制品","造纸印刷",0.0324133101202697,1,"0.03241","*","Wilcoxon"
"2601","weight","化学制品","照明设备",0.511992350441185,1,"0.51199","ns","Wilcoxon"
"2602","weight","化学制品","中药生产",1.14024712410873e-38,4.6e-35,"< 2e-16","****","Wilcoxon"
"2603","weight","化学制品","珠宝首饰",1.91141746573892e-22,7.2e-19,"< 2e-16","****","Wilcoxon"
"2604","weight","化学制品","专业服务",0.000267488982149692,0.61,"0.00027","***","Wilcoxon"
"2605","weight","化学制品","专用设备",4.51605639365237e-112,2e-108,"< 2e-16","****","Wilcoxon"
"2606","weight","化学制品","装修装饰",0.00187430897870209,1,"0.00187","**","Wilcoxon"
"2607","weight","化学制品","综合",0.376483155157018,1,"0.37648","ns","Wilcoxon"
"2608","weight","化学制药","环保",2.00163679557621e-86,8.7e-83,"< 2e-16","****","Wilcoxon"
"2609","weight","化学制药","机器人",2.78201574091784e-05,0.07,"2.8e-05","****","Wilcoxon"
"2610","weight","化学制药","基本金属",4.23360570165676e-05,0.1,"4.2e-05","****","Wilcoxon"
"2611","weight","化学制药","基础建设",6.60590617722193e-06,0.017,"6.6e-06","****","Wilcoxon"
"2612","weight","化学制药","计算机软件",5.76832293916703e-75,2.5e-71,"< 2e-16","****","Wilcoxon"
"2613","weight","化学制药","计算机硬件",3.5110874983741e-48,1.5e-44,"< 2e-16","****","Wilcoxon"
"2614","weight","化学制药","家具",2.80150726154067e-06,0.0075,"2.8e-06","****","Wilcoxon"
"2615","weight","化学制药","建筑施工",4.71050500887322e-189,2.1e-185,"< 2e-16","****","Wilcoxon"
"2616","weight","化学制药","教育",0.880406136169599,1,"0.88041","ns","Wilcoxon"
"2617","weight","化学制药","金属非金属新材料",3.72423542822526e-50,1.6e-46,"< 2e-16","****","Wilcoxon"
"2618","weight","化学制药","金属制品",3.68183719604746e-68,1.6e-64,"< 2e-16","****","Wilcoxon"
"2619","weight","化学制药","林业",0.00759566184637549,1,"0.00760","**","Wilcoxon"
"2620","weight","化学制药","零售",0.10019068515589,1,"0.10019","ns","Wilcoxon"
"2621","weight","化学制药","贸易",0.274918383185199,1,"0.27492","ns","Wilcoxon"
"2622","weight","化学制药","煤炭",0.943953283324654,1,"0.94395","ns","Wilcoxon"
"2623","weight","化学制药","耐火材料",1.98355206336394e-63,8.5e-60,"< 2e-16","****","Wilcoxon"
"2624","weight","化学制药","农业",8.15885603960894e-05,0.2,"8.2e-05","****","Wilcoxon"
"2625","weight","化学制药","平面媒体",0.315825741827796,1,"0.31583","ns","Wilcoxon"
"2626","weight","化学制药","其他电气设备",3.76018444839842e-13,1.3e-09,"3.8e-13","****","Wilcoxon"
"2627","weight","化学制药","其他家电",0.0127212323186366,1,"0.01272","*","Wilcoxon"
"2628","weight","化学制药","其他建材",8.49045341522122e-07,0.0023,"8.5e-07","****","Wilcoxon"
"2629","weight","化学制药","其他交运设备",0.00490627219005518,1,"0.00491","**","Wilcoxon"
"2630","weight","化学制药","其他轻工",0.0245631812094861,1,"0.02456","*","Wilcoxon"
"2631","weight","化学制药","汽车",2.08387025489347e-24,8e-21,"< 2e-16","****","Wilcoxon"
"2632","weight","化学制药","燃气",0.196504810027957,1,"0.19650","ns","Wilcoxon"
"2633","weight","化学制药","商业物业经营",0.0770211492528521,1,"0.07702","ns","Wilcoxon"
"2634","weight","化学制药","生物医药",0.000152348853314086,0.36,"0.00015","***","Wilcoxon"
"2635","weight","化学制药","石油天然气",4.25376170398184e-22,1.6e-18,"< 2e-16","****","Wilcoxon"
"2636","weight","化学制药","食品",8.18741724487812e-28,3.2e-24,"< 2e-16","****","Wilcoxon"
"2637","weight","化学制药","视听器材",1.4452990999942e-15,5e-12,"1.4e-15","****","Wilcoxon"
"2638","weight","化学制药","输变电设备",0.00220346335054109,1,"0.00220","**","Wilcoxon"
"2639","weight","化学制药","水泥",0.0741988801904541,1,"0.07420","ns","Wilcoxon"
"2640","weight","化学制药","水务",0.761973972277146,1,"0.76197","ns","Wilcoxon"
"2641","weight","化学制药","陶瓷",8.0955342383546e-13,2.7e-09,"8.1e-13","****","Wilcoxon"
"2642","weight","化学制药","铁矿石",0.469891035552771,1,"0.46989","ns","Wilcoxon"
"2643","weight","化学制药","铁路设备",1.1974288877204e-10,3.8e-07,"1.2e-10","****","Wilcoxon"
"2644","weight","化学制药","通信设备",1.33884891499768e-13,4.5e-10,"1.3e-13","****","Wilcoxon"
"2645","weight","化学制药","通用设备",0.473165996338265,1,"0.47317","ns","Wilcoxon"
"2646","weight","化学制药","卫星应用",0.000211660560602676,0.49,"0.00021","***","Wilcoxon"
"2647","weight","化学制药","文娱用品",4.78607139387236e-05,0.12,"4.8e-05","****","Wilcoxon"
"2648","weight","化学制药","物流",0.119851003850383,1,"0.11985","ns","Wilcoxon"
"2649","weight","化学制药","稀有金属",6.88064779150721e-05,0.17,"6.9e-05","****","Wilcoxon"
"2650","weight","化学制药","橡胶制品",1.00781133613628e-14,3.5e-11,"1.0e-14","****","Wilcoxon"
"2651","weight","化学制药","消费电子设备",0.000263277157539153,0.6,"0.00026","***","Wilcoxon"
"2652","weight","化学制药","小家电",8.41532161548258e-22,3.1e-18,"< 2e-16","****","Wilcoxon"
"2653","weight","化学制药","休闲服务",0.775867169747086,1,"0.77587","ns","Wilcoxon"
"2654","weight","化学制药","医疗服务",0.000355807839265281,0.81,"0.00036","***","Wilcoxon"
"2655","weight","化学制药","医疗器械",0.921943625627457,1,"0.92194","ns","Wilcoxon"
"2656","weight","化学制药","医药商业",8.31713288993781e-33,3.3e-29,"< 2e-16","****","Wilcoxon"
"2657","weight","化学制药","银行",0.00664591160904329,1,"0.00665","**","Wilcoxon"
"2658","weight","化学制药","饮料",0.249154393258293,1,"0.24915","ns","Wilcoxon"
"2659","weight","化学制药","营销服务",0.0363266553250327,1,"0.03633","*","Wilcoxon"
"2660","weight","化学制药","影视动漫",0.00114642765428885,1,"0.00115","**","Wilcoxon"
"2661","weight","化学制药","渔业",0.981009075036126,1,"0.98101","ns","Wilcoxon"
"2662","weight","化学制药","造纸印刷",4.15194515585336e-51,1.7e-47,"< 2e-16","****","Wilcoxon"
"2663","weight","化学制药","照明设备",9.14508431116401e-10,2.8e-06,"9.1e-10","****","Wilcoxon"
"2664","weight","化学制药","中药生产",4.49288995844609e-12,1.5e-08,"4.5e-12","****","Wilcoxon"
"2665","weight","化学制药","珠宝首饰",2.14960549283164e-21,8e-18,"< 2e-16","****","Wilcoxon"
"2666","weight","化学制药","专业服务",5.88993844574959e-33,2.3e-29,"< 2e-16","****","Wilcoxon"
"2667","weight","化学制药","专用设备",0.114067027777336,1,"0.11407","ns","Wilcoxon"
"2668","weight","化学制药","装修装饰",2.4698164182631e-05,0.062,"2.5e-05","****","Wilcoxon"
"2669","weight","化学制药","综合",6.55741976908e-13,2.2e-09,"6.6e-13","****","Wilcoxon"
"2670","weight","环保","机器人",6.02281054185599e-105,2.7e-101,"< 2e-16","****","Wilcoxon"
"2671","weight","环保","基本金属",1.34697440363439e-96,5.9e-93,"< 2e-16","****","Wilcoxon"
"2672","weight","环保","基础建设",2.22606780444826e-12,7.3e-09,"2.2e-12","****","Wilcoxon"
"2673","weight","环保","计算机软件",1.79145889831321e-07,0.00051,"1.8e-07","****","Wilcoxon"
"2674","weight","环保","计算机硬件",3.10808978239011e-23,1.2e-19,"< 2e-16","****","Wilcoxon"
"2675","weight","环保","家具",1.56027089433525e-63,6.7e-60,"< 2e-16","****","Wilcoxon"
"2676","weight","环保","建筑施工",1.94781451633683e-08,5.8e-05,"1.9e-08","****","Wilcoxon"
"2677","weight","环保","教育",0.00190873927176032,1,"0.00191","**","Wilcoxon"
"2678","weight","环保","金属非金属新材料",1.22134738950883e-39,5e-36,"< 2e-16","****","Wilcoxon"
"2679","weight","环保","金属制品",2.87805099300962e-263,1.3e-259,"< 2e-16","****","Wilcoxon"
"2680","weight","环保","林业",0.188586626448137,1,"0.18859","ns","Wilcoxon"
"2681","weight","环保","零售",0.0109083340085391,1,"0.01091","*","Wilcoxon"
"2682","weight","环保","贸易",3.83979861949621e-26,1.5e-22,"< 2e-16","****","Wilcoxon"
"2683","weight","环保","煤炭",7.1875425035333e-31,2.8e-27,"< 2e-16","****","Wilcoxon"
"2684","weight","环保","耐火材料",0.00328132919163428,1,"0.00328","**","Wilcoxon"
"2685","weight","环保","农业",1.48503054936536e-19,5.4e-16,"< 2e-16","****","Wilcoxon"
"2686","weight","环保","平面媒体",0.613178350467985,1,"0.61318","ns","Wilcoxon"
"2687","weight","环保","其他电气设备",4.25824811384222e-20,1.6e-16,"< 2e-16","****","Wilcoxon"
"2688","weight","环保","其他家电",4.75032392194252e-18,1.7e-14,"< 2e-16","****","Wilcoxon"
"2689","weight","环保","其他建材",4.25067891557189e-99,1.9e-95,"< 2e-16","****","Wilcoxon"
"2690","weight","环保","其他交运设备",2.84422560631618e-15,9.8e-12,"2.8e-15","****","Wilcoxon"
"2691","weight","环保","其他轻工",0.0162090939697678,1,"0.01621","*","Wilcoxon"
"2692","weight","环保","汽车",2.41930174349792e-88,1.1e-84,"< 2e-16","****","Wilcoxon"
"2693","weight","环保","燃气",4.00365006849929e-26,1.5e-22,"< 2e-16","****","Wilcoxon"
"2694","weight","环保","商业物业经营",0.000285652023582919,0.65,"0.00029","***","Wilcoxon"
"2695","weight","环保","生物医药",4.18069912603322e-16,1.5e-12,"4.2e-16","****","Wilcoxon"
"2696","weight","环保","石油天然气",3.36509321409496e-47,1.4e-43,"< 2e-16","****","Wilcoxon"
"2697","weight","环保","食品",1.08965441353085e-125,4.9e-122,"< 2e-16","****","Wilcoxon"
"2698","weight","环保","视听器材",5.29840413213048e-11,1.7e-07,"5.3e-11","****","Wilcoxon"
"2699","weight","环保","输变电设备",1.62825667780895e-55,6.9e-52,"< 2e-16","****","Wilcoxon"
"2700","weight","环保","水泥",2.4971487122528e-25,9.6e-22,"< 2e-16","****","Wilcoxon"
"2701","weight","环保","水务",3.74186667252564e-16,1.3e-12,"3.7e-16","****","Wilcoxon"
"2702","weight","环保","陶瓷",3.4808562832908e-10,1.1e-06,"3.5e-10","****","Wilcoxon"
"2703","weight","环保","铁矿石",0.136884990893758,1,"0.13688","ns","Wilcoxon"
"2704","weight","环保","铁路设备",0.00715705280853096,1,"0.00716","**","Wilcoxon"
"2705","weight","环保","通信设备",6.40970272938396e-14,2.2e-10,"6.4e-14","****","Wilcoxon"
"2706","weight","环保","通用设备",2.62015497040322e-136,1.2e-132,"< 2e-16","****","Wilcoxon"
"2707","weight","环保","卫星应用",7.20548084020433e-13,2.4e-09,"7.2e-13","****","Wilcoxon"
"2708","weight","环保","文娱用品",8.35121382493419e-13,2.8e-09,"8.4e-13","****","Wilcoxon"
"2709","weight","环保","物流",6.6875655085913e-61,2.8e-57,"< 2e-16","****","Wilcoxon"
"2710","weight","环保","稀有金属",1.19114040936034e-47,4.9e-44,"< 2e-16","****","Wilcoxon"
"2711","weight","环保","橡胶制品",2.28333428224025e-28,8.9e-25,"< 2e-16","****","Wilcoxon"
"2712","weight","环保","消费电子设备",2.6947907211104e-25,1e-21,"< 2e-16","****","Wilcoxon"
"2713","weight","环保","小家电",3.13275595037834e-24,1.2e-20,"< 2e-16","****","Wilcoxon"
"2714","weight","环保","休闲服务",0.00724801205365141,1,"0.00725","**","Wilcoxon"
"2715","weight","环保","医疗服务",3.02404148142846e-13,1e-09,"3.0e-13","****","Wilcoxon"
"2716","weight","环保","医疗器械",1.69004338048433e-87,7.4e-84,"< 2e-16","****","Wilcoxon"
"2717","weight","环保","医药商业",7.01805313671986e-60,3e-56,"< 2e-16","****","Wilcoxon"
"2718","weight","环保","银行",2.68371238593176e-33,1.1e-29,"< 2e-16","****","Wilcoxon"
"2719","weight","环保","饮料",0.000398752390638339,0.9,"0.00040","***","Wilcoxon"
"2720","weight","环保","营销服务",1.04968257332805e-07,3e-04,"1.0e-07","****","Wilcoxon"
"2721","weight","环保","影视动漫",1.55734704785926e-06,0.0042,"1.6e-06","****","Wilcoxon"
"2722","weight","环保","渔业",0.0915940676640329,1,"0.09159","ns","Wilcoxon"
"2723","weight","环保","造纸印刷",3.42078838329037e-36,1.4e-32,"< 2e-16","****","Wilcoxon"
"2724","weight","环保","照明设备",2.29413667106748e-09,7e-06,"2.3e-09","****","Wilcoxon"
"2725","weight","环保","中药生产",3.69959283079206e-46,1.5e-42,"< 2e-16","****","Wilcoxon"
"2726","weight","环保","珠宝首饰",5.23214274560181e-21,1.9e-17,"< 2e-16","****","Wilcoxon"
"2727","weight","环保","专业服务",9.43459356091485e-47,3.9e-43,"< 2e-16","****","Wilcoxon"
"2728","weight","环保","专用设备",1.64706108916649e-127,7.4e-124,"< 2e-16","****","Wilcoxon"
"2729","weight","环保","装修装饰",6.78128097632443e-17,2.4e-13,"< 2e-16","****","Wilcoxon"
"2730","weight","环保","综合",6.54047306845305e-15,2.2e-11,"6.5e-15","****","Wilcoxon"
"2731","weight","机器人","基本金属",9.0417221629611e-23,3.4e-19,"< 2e-16","****","Wilcoxon"
"2732","weight","机器人","基础建设",2.56603409867206e-11,8.3e-08,"2.6e-11","****","Wilcoxon"
"2733","weight","机器人","计算机软件",5.29577479390606e-109,2.3e-105,"< 2e-16","****","Wilcoxon"
"2734","weight","机器人","计算机硬件",2.93883312457099e-75,1.3e-71,"< 2e-16","****","Wilcoxon"
"2735","weight","机器人","家具",0.0375087696451729,1,"0.03751","*","Wilcoxon"
"2736","weight","机器人","建筑施工",1.67131048162761e-206,7.6e-203,"< 2e-16","****","Wilcoxon"
"2737","weight","机器人","教育",0.353371521424658,1,"0.35337","ns","Wilcoxon"
"2738","weight","机器人","金属非金属新材料",2.45668341495199e-80,1.1e-76,"< 2e-16","****","Wilcoxon"
"2739","weight","机器人","金属制品",8.47812026643926e-27,3.3e-23,"< 2e-16","****","Wilcoxon"
"2740","weight","机器人","林业",0.000725975809081676,1,"0.00073","***","Wilcoxon"
"2741","weight","机器人","零售",0.00469553995236297,1,"0.00470","**","Wilcoxon"
"2742","weight","机器人","贸易",0.439560736754941,1,"0.43956","ns","Wilcoxon"
"2743","weight","机器人","煤炭",0.013004379983419,1,"0.01300","*","Wilcoxon"
"2744","weight","机器人","耐火材料",7.62777919742231e-70,3.3e-66,"< 2e-16","****","Wilcoxon"
"2745","weight","机器人","农业",0.00617801634628974,1,"0.00618","**","Wilcoxon"
"2746","weight","机器人","平面媒体",0.204926895559161,1,"0.20493","ns","Wilcoxon"
"2747","weight","机器人","其他电气设备",1.56108065828672e-23,5.9e-20,"< 2e-16","****","Wilcoxon"
"2748","weight","机器人","其他家电",2.55130301094773e-07,0.00072,"2.6e-07","****","Wilcoxon"
"2749","weight","机器人","其他建材",0.613644724040097,1,"0.61364","ns","Wilcoxon"
"2750","weight","机器人","其他交运设备",7.85049646704235e-07,0.0022,"7.9e-07","****","Wilcoxon"
"2751","weight","机器人","其他轻工",0.00193284750795795,1,"0.00193","**","Wilcoxon"
"2752","weight","机器人","汽车",4.16124478578418e-60,1.8e-56,"< 2e-16","****","Wilcoxon"
"2753","weight","机器人","燃气",0.315542777971027,1,"0.31554","ns","Wilcoxon"
"2754","weight","机器人","商业物业经营",0.00224437738491519,1,"0.00224","**","Wilcoxon"
"2755","weight","机器人","生物医药",0.0213714340992564,1,"0.02137","*","Wilcoxon"
"2756","weight","机器人","石油天然气",1.75763357417051e-44,7.2e-41,"< 2e-16","****","Wilcoxon"
"2757","weight","机器人","食品",8.92559103318744e-13,3e-09,"8.9e-13","****","Wilcoxon"
"2758","weight","机器人","视听器材",1.34791597734432e-23,5.1e-20,"< 2e-16","****","Wilcoxon"
"2759","weight","机器人","输变电设备",1.89871651909204e-11,6.1e-08,"1.9e-11","****","Wilcoxon"
"2760","weight","机器人","水泥",5.20663898946821e-06,0.014,"5.2e-06","****","Wilcoxon"
"2761","weight","机器人","水务",0.0526619390548781,1,"0.05266","ns","Wilcoxon"
"2762","weight","机器人","陶瓷",2.93532707255968e-22,1.1e-18,"< 2e-16","****","Wilcoxon"
